iter	MultiClass
0	1.580046354
1	1.432754285
2	1.318729643
3	1.230112521
4	1.152728484
5	1.088758146
6	1.032800833
7	0.9857696392
8	0.9430719032
9	0.9046133859
10	0.8710114104
11	0.8408569615
12	0.8141682518
13	0.7900285182
14	0.7691384386
15	0.7491719014
16	0.7305342758
17	0.7152126942
18	0.7010077365
19	0.6875208904
20	0.674966893
21	0.6628095586
22	0.6519028485
23	0.6411863279
24	0.6320539249
25	0.62413509
26	0.6146734948
27	0.6067150417
28	0.6000323679
29	0.5934370954
30	0.5861947928
31	0.5794881684
32	0.574248644
33	0.568110232
34	0.5640883229
35	0.5588520303
36	0.5553052729
37	0.5507587936
38	0.5470942049
39	0.5435324396
40	0.5393166575
41	0.5353619304
42	0.5319460026
43	0.5280517902
44	0.5242282436
45	0.5202666721
46	0.5171252668
47	0.5143962574
48	0.5117299779
49	0.5094624016
50	0.5064488746
51	0.504065267
52	0.5018236498
53	0.4990954139
54	0.4959048313
55	0.4938395216
56	0.4914409442
57	0.4899001136
58	0.4884423639
59	0.4867506176
60	0.4851980289
61	0.4833899263
62	0.4812685629
63	0.4794674596
64	0.4772978222
65	0.4760588146
66	0.4743887333
67	0.4729672247
68	0.4716137868
69	0.4693330534
70	0.4673550663
71	0.466036468
72	0.4643300522
73	0.4629694698
74	0.4617863729
75	0.4600416125
76	0.4587947096
77	0.4575954645
78	0.4563174896
79	0.4549560781
80	0.4537757637
81	0.4521175571
82	0.4508733786
83	0.4497634135
84	0.4482295898
85	0.4471281162
86	0.4461466287
87	0.4445740273
88	0.4436549801
89	0.4427698694
90	0.441466446
91	0.4402269677
92	0.439358643
93	0.4386561362
94	0.4380683709
95	0.4369625616
96	0.4364040478
97	0.4355564043
98	0.4349755578
99	0.4338442969
100	0.4328173494
101	0.4319460289
102	0.4310246633
103	0.430109619
104	0.429414039
105	0.4284317273
106	0.4275646158
107	0.4267098262
108	0.4256863478
109	0.4248697104
110	0.4233605707
111	0.4225902141
112	0.4216431166
113	0.4210672016
114	0.4202184062
115	0.4198307386
116	0.4190723152
117	0.4183482911
118	0.4171600168
119	0.4165606148
120	0.4159719754
121	0.4148304715
122	0.4138555144
123	0.4123097239
124	0.411328434
125	0.4107143885
126	0.4093495599
127	0.4089696969
128	0.4081926729
129	0.4076045995
130	0.4066963127
131	0.4059363501
132	0.4050581731
133	0.4045441663
134	0.4038248577
135	0.4030429569
136	0.4025494213
137	0.4020208971
138	0.4017538789
139	0.4012244023
140	0.400572579
141	0.3998594507
142	0.3995099061
143	0.3990566982
144	0.3983429606
145	0.3977103146
146	0.3971090265
147	0.3965138444
148	0.3957366712
149	0.3950153953
150	0.3945263788
151	0.3941100044
152	0.3936522698
153	0.393232792
154	0.3925829508
155	0.3917801147
156	0.3913975712
157	0.3907798104
158	0.3903280894
159	0.3899869497
160	0.3895569547
161	0.3890590357
162	0.388596002
163	0.3879845412
164	0.3874518317
165	0.3869412112
166	0.386257713
167	0.3855772177
168	0.3849756646
169	0.384240697
170	0.3836596017
171	0.3831495974
172	0.3825711288
173	0.3818508072
174	0.3814624358
175	0.381108149
176	0.380569172
177	0.3801344708
178	0.3797501798
179	0.3790250905
180	0.3785080286
181	0.3780773932
182	0.3776569464
183	0.3769754026
184	0.3766610675
185	0.3763111445
186	0.3758656686
187	0.3754775462
188	0.3747293301
189	0.3744140573
190	0.373727845
191	0.3731220024
192	0.3727245938
193	0.3723903401
194	0.3719705112
195	0.371449655
196	0.3709739184
197	0.3702805625
198	0.3699082753
199	0.3695550399
200	0.369351423
201	0.3687467636
202	0.3683527883
203	0.3678846988
204	0.3674762796
205	0.3669842529
206	0.3664244465
207	0.3657317341
208	0.3653608271
209	0.3651362617
210	0.3645202675
211	0.3642070286
212	0.3639851804
213	0.3637176916
214	0.3632724552
215	0.3628622414
216	0.3625419835
217	0.3620338452
218	0.3617098013
219	0.3613955487
220	0.3611676435
221	0.3606643749
222	0.3602919207
223	0.359984871
224	0.3596089056
225	0.3591175419
226	0.3586033866
227	0.358269137
228	0.357856593
229	0.357524539
230	0.3570666975
231	0.3566558359
232	0.3564172169
233	0.3561888464
234	0.355689167
235	0.3553445268
236	0.3548751995
237	0.3543582617
238	0.3540461023
239	0.3537142983
240	0.353145481
241	0.3528217238
242	0.3525941772
243	0.3523055008
244	0.351946298
245	0.3516315771
246	0.3510816736
247	0.3507870409
248	0.3503572212
249	0.3498763464
250	0.3492974821
251	0.3489446767
252	0.3486758617
253	0.3483054033
254	0.3476144148
255	0.3472200816
256	0.3469771544
257	0.3464125738
258	0.3458744269
259	0.3453869662
260	0.3449198861
261	0.3445637456
262	0.3441534164
263	0.343942934
264	0.3436365056
265	0.3433109156
266	0.3428401652
267	0.342555699
268	0.3421727184
269	0.3418960491
270	0.3414211226
271	0.3409789877
272	0.3407158033
273	0.3403128513
274	0.3400078168
275	0.33947099
276	0.339291659
277	0.3390720997
278	0.3386179639
279	0.3381890571
280	0.3377758157
281	0.3374673847
282	0.3370884324
283	0.3367421178
284	0.3365792425
285	0.3363674901
286	0.3362214195
287	0.3360841182
288	0.3358874237
289	0.3356647351
290	0.3354051927
291	0.3350940937
292	0.3346578032
293	0.3343829379
294	0.3340390452
295	0.3337770459
296	0.3332576036
297	0.3328516704
298	0.3327061199
299	0.3322939531
300	0.3320162152
301	0.331566479
302	0.3310983675
303	0.3306609451
304	0.3303953729
305	0.3299047078
306	0.3295892726
307	0.3293201229
308	0.3290943694
309	0.3287835035
310	0.328606445
311	0.328317521
312	0.3279436985
313	0.327596929
314	0.3273123701
315	0.3269667786
316	0.3266818362
317	0.3263318391
318	0.3260545408
319	0.3257048279
320	0.3254372136
321	0.3251340937
322	0.3245631971
323	0.3244360801
324	0.3242875677
325	0.3239469547
326	0.3235972917
327	0.3231754567
328	0.3228981633
329	0.3226029371
330	0.3223294145
331	0.321864341
332	0.3215726928
333	0.3213111795
334	0.3208815118
335	0.3205081336
336	0.3204013705
337	0.3201487663
338	0.3198534127
339	0.3197071037
340	0.319488017
341	0.3191499162
342	0.3189266042
343	0.3187652398
344	0.3185780216
345	0.3183289969
346	0.318080482
347	0.317710775
348	0.3173547581
349	0.3171611058
350	0.316932193
351	0.3165121791
352	0.3163788012
353	0.3161580046
354	0.315877008
355	0.3156734094
356	0.3153259035
357	0.3150830416
358	0.3149490143
359	0.3146999532
360	0.3144682063
361	0.3142821231
362	0.3139735408
363	0.313558553
364	0.3132104961
365	0.3130170261
366	0.3127757731
367	0.31252367
368	0.3123092062
369	0.312087206
370	0.3117627887
371	0.3113996707
372	0.3110024219
373	0.3108181685
374	0.3106027905
375	0.310362978
376	0.3101569385
377	0.3098493424
378	0.3096068676
379	0.3094260468
380	0.3092134852
381	0.3090710641
382	0.3088658983
383	0.3086563828
384	0.3083399769
385	0.3079941772
386	0.3076132566
387	0.3074538538
388	0.3072943537
389	0.3070704451
390	0.3067733935
391	0.3065037583
392	0.3061293375
393	0.3059197409
394	0.3055853809
395	0.3053904291
396	0.3051668752
397	0.3048693912
398	0.3046973144
399	0.3043850271
400	0.3040695377
401	0.3038497014
402	0.3035965401
403	0.3033025153
404	0.3030522315
405	0.3028629771
406	0.3025810794
407	0.3022007607
408	0.3020143304
409	0.3017708877
410	0.301574163
411	0.3013944257
412	0.301213613
413	0.3009674218
414	0.300879896
415	0.3005907768
416	0.3004389141
417	0.3000777387
418	0.2997028304
419	0.2994809153
420	0.2991471023
421	0.299000011
422	0.2987607241
423	0.2986142424
424	0.2983249761
425	0.298172814
426	0.2978886279
427	0.2975189465
428	0.2972094441
429	0.2970263546
430	0.2968494365
431	0.29669379
432	0.2963938937
433	0.2962257458
434	0.2960581669
435	0.2957464566
436	0.2954289262
437	0.2952444446
438	0.2951072671
439	0.2948277423
440	0.2946720827
441	0.2945211175
442	0.2943051773
443	0.2939990255
444	0.2938128261
445	0.2935628588
446	0.293477575
447	0.2932738695
448	0.2929920576
449	0.292731546
450	0.2925598527
451	0.29238567
452	0.292199126
453	0.2919872226
