iter	Passed	Remaining
0	83	83177
1	93	46645
2	103	34531
3	114	28476
4	123	24656
5	132	21961
6	141	20074
7	150	18601
8	158	17504
9	167	16568
10	176	15874
11	185	15239
12	194	14764
13	203	14359
14	217	14261
15	234	14410
16	247	14290
17	258	14076
18	271	14010
19	286	14031
20	297	13864
21	308	13726
22	320	13618
23	331	13495
24	346	13497
25	360	13505
26	373	13472
27	385	13369
28	398	13334
29	412	13326
30	431	13475
31	445	13482
32	455	13352
33	469	13346
34	479	13228
35	490	13123
36	499	13006
37	511	12945
38	522	12865
39	531	12749
40	539	12623
41	548	12505
42	557	12404
43	565	12291
44	574	12192
45	583	12109
46	594	12063
47	607	12043
48	616	11962
49	627	11918
50	637	11857
51	647	11799
52	656	11736
53	666	11684
54	675	11599
55	683	11522
56	692	11458
57	700	11382
58	709	11313
59	718	11261
60	728	11220
61	738	11177
62	747	11123
63	756	11062
64	765	11015
65	774	10957
66	782	10902
67	792	10861
68	803	10838
69	815	10836
70	826	10812
71	837	10792
72	847	10760
73	860	10767
74	873	10768
75	887	10786
76	898	10775
77	910	10757
78	920	10734
79	931	10709
80	941	10682
81	952	10660
82	963	10639
83	974	10626
84	985	10604
85	995	10584
86	1005	10549
87	1015	10528
88	1027	10513
89	1037	10493
90	1048	10469
91	1059	10453
92	1069	10427
93	1079	10407
94	1089	10381
95	1100	10358
96	1109	10331
97	1121	10318
98	1131	10295
99	1147	10327
100	1158	10309
101	1169	10294
102	1179	10273
103	1189	10245
104	1199	10224
105	1210	10205
106	1222	10206
107	1233	10191
108	1245	10179
109	1256	10164
110	1269	10166
111	1280	10152
112	1292	10148
113	1302	10126
114	1314	10118
115	1328	10125
116	1374	10375
117	1408	10528
118	1426	10557
119	1439	10558
120	1450	10537
121	1460	10512
122	1470	10486
123	1481	10466
124	1490	10436
125	1499	10402
126	1509	10374
127	1517	10340
128	1526	10305
129	1534	10271
130	1544	10243
131	1553	10214
132	1561	10181
133	1570	10146
134	1579	10118
135	1587	10086
136	1596	10056
137	1604	10022
138	1613	9991
139	1621	9962
140	1632	9943
141	1642	9923
142	1651	9894
143	1659	9863
144	1667	9833
145	1675	9802
146	1684	9773
147	1693	9748
148	1704	9735
149	1716	9728
150	1726	9707
151	1736	9685
152	1745	9665
153	1754	9639
154	1764	9621
155	1775	9603
156	1784	9582
157	1794	9561
158	1803	9540
159	1813	9519
160	1821	9490
161	1830	9468
162	1838	9442
163	1847	9418
164	1856	9393
165	1865	9372
166	1875	9356
167	1887	9345
168	1896	9326
169	1906	9306
170	1915	9285
171	1924	9263
172	1933	9241
173	1941	9218
174	1950	9195
175	1960	9176
176	1968	9155
177	1978	9134
178	1986	9109
179	1995	9090
180	2004	9068
181	2012	9046
182	2021	9024
183	2033	9019
184	2072	9129
185	2091	9151
186	2100	9131
187	2109	9109
188	2118	9088
189	2126	9066
190	2135	9045
191	2144	9025
192	2153	9003
193	2161	8982
194	2170	8960
195	2180	8943
196	2188	8922
197	2198	8903
198	2207	8886
199	2215	8863
200	2224	8841
201	2232	8821
202	2241	8800
203	2250	8780
204	2260	8764
205	2269	8747
206	2279	8731
207	2289	8719
208	2301	8710
209	2310	8691
210	2320	8676
211	2329	8658
212	2338	8641
213	2347	8622
214	2357	8607
215	2366	8590
216	2376	8575
217	2386	8559
218	2395	8543
219	2405	8527
220	2414	8511
221	2425	8498
222	2434	8481
223	2444	8467
224	2454	8452
225	2463	8438
226	2473	8424
227	2483	8408
228	2494	8398
229	2507	8394
230	2517	8382
231	2528	8370
232	2540	8363
233	2551	8351
234	2563	8344
235	2576	8340
236	2590	8340
237	2606	8343
238	2621	8348
239	2637	8353
240	2653	8356
241	2665	8350
242	2679	8346
243	2693	8345
244	2708	8346
245	2723	8346
246	2738	8348
247	2752	8347
248	2769	8352
249	2787	8361
250	2815	8401
251	2848	8453
252	2875	8489
253	2888	8484
254	2902	8480
255	2916	8476
256	2929	8469
257	2943	8465
258	2959	8466
259	2976	8472
260	3001	8497
261	3024	8518
262	3047	8541
263	3063	8541
264	3077	8534
265	3089	8525
266	3106	8529
267	3124	8533
268	3142	8538
269	3161	8547
270	3185	8569
271	3212	8599
272	3241	8633
273	3259	8635
274	3272	8627
275	3286	8619
276	3299	8612
277	3316	8613
278	3335	8619
279	3357	8633
280	3376	8640
281	3398	8652
282	3417	8658
283	3436	8663
284	3454	8667
285	3474	8674
286	3493	8679
287	3513	8686
288	3535	8698
289	3547	8684
290	3557	8667
291	3567	8650
292	3579	8637
293	3589	8620
294	3602	8609
295	3614	8597
296	3630	8593
297	3647	8591
298	3676	8619
299	3704	8643
300	3739	8683
301	3763	8698
302	3778	8692
303	3793	8685
304	3813	8690
305	3831	8690
306	3850	8691
307	3867	8689
308	3885	8689
309	3903	8688
310	3920	8685
311	3938	8685
312	3956	8683
313	3973	8680
314	3989	8675
315	4007	8674
316	4026	8675
317	4043	8672
318	4058	8663
319	4076	8662
320	4092	8656
321	4110	8655
322	4130	8656
323	4147	8652
324	4163	8647
325	4180	8642
326	4196	8637
327	4214	8634
328	4232	8631
329	4248	8625
330	4263	8617
331	4283	8617
332	4299	8611
333	4316	8606
334	4332	8600
335	4347	8591
336	4373	8604
337	4392	8602
338	4411	8601
339	4425	8590
340	4440	8581
341	4455	8572
342	4469	8561
343	4484	8552
344	4501	8546
345	4519	8541
346	4534	8534
347	4551	8527
348	4569	8523
349	4586	8517
350	4602	8509
351	4621	8506
352	4636	8498
353	4654	8494
354	4670	8485
355	4686	8477
356	4704	8474
357	4721	8466
358	4740	8463
359	4760	8463
360	4776	8455
361	4792	8446
362	4808	8437
363	4826	8432
364	4843	8426
365	4859	8418
366	4876	8410
367	4891	8400
368	4907	8391
369	4922	8382
370	4941	8377
371	4958	8370
372	4974	8361
373	4990	8352
374	5007	8345
375	5024	8338
376	5039	8328
377	5056	8320
378	5070	8308
379	5087	8300
380	5104	8292
381	5121	8284
382	5137	8275
383	5152	8265
384	5167	8254
385	5189	8254
386	5207	8249
387	5222	8237
388	5238	8227
389	5255	8219
390	5274	8214
391	5291	8206
392	5309	8200
393	5333	8203
394	5350	8195
395	5367	8186
396	5384	8179
397	5404	8175
398	5420	8165
399	5436	8154
400	5452	8144
401	5472	8140
402	5492	8135
403	5511	8130
404	5529	8123
405	5549	8118
406	5566	8109
407	5584	8103
408	5605	8099
409	5623	8092
410	5639	8082
411	5655	8071
412	5671	8060
413	5688	8052
414	5705	8042
415	5723	8034
416	5742	8027
417	5759	8019
418	5776	8009
419	5792	7999
420	5811	7992
421	5828	7983
422	5844	7972
423	5860	7960
424	5875	7948
425	5891	7938
426	5908	7929
427	5926	7920
428	5944	7911
429	5959	7899
430	5975	7888
431	5990	7877
432	6010	7870
433	6027	7860
434	6042	7848
435	6057	7835
436	6076	7827
437	6123	7857
438	6140	7846
439	6153	7831
440	6166	7816
441	6180	7802
442	6194	7787
443	6207	7773
444	6222	7760
445	6240	7751
446	6257	7741
447	6276	7733
448	6318	7753
449	6334	7742
450	6349	7729
451	6365	7718
452	6381	7705
453	6399	7695
454	6417	7686
455	6437	7679
456	6454	7669
457	6471	7658
458	6491	7651
459	6512	7644
460	6527	7632
461	6543	7619
462	6559	7608
463	6578	7599
464	6642	7642
465	6660	7632
466	6675	7618
467	6687	7602
468	6701	7587
469	6716	7574
470	6733	7562
471	6752	7554
472	6788	7563
473	6807	7554
474	6825	7543
475	6841	7531
476	6857	7518
477	6873	7505
478	6889	7494
479	6907	7482
480	6924	7471
481	6943	7462
482	6961	7451
483	6978	7439
484	6995	7428
485	7013	7417
486	7030	7406
487	7045	7392
488	7063	7381
489	7080	7369
490	7096	7356
491	7114	7346
492	7133	7335
493	7151	7325
494	7166	7311
495	7182	7297
496	7198	7285
497	7214	7272
498	7231	7260
499	7247	7247
500	7264	7235
501	7281	7223
502	7298	7211
503	7316	7200
504	7331	7186
505	7350	7176
506	7365	7162
507	7381	7149
508	7399	7137
509	7415	7124
510	7429	7109
511	7446	7097
512	7463	7085
513	7480	7072
514	7497	7060
515	7514	7048
516	7529	7034
517	7549	7024
518	7563	7009
519	7580	6997
520	7596	6983
521	7611	6969
522	7629	6958
523	7644	6944
524	7662	6932
525	7678	6919
526	7693	6904
527	7710	6892
528	7727	6879
529	7743	6866
530	7759	6853
531	7775	6840
532	7792	6827
533	7808	6813
534	7825	6801
535	7840	6786
536	7856	6774
537	7873	6761
538	7892	6750
539	7919	6745
540	7933	6730
541	7945	6713
542	7957	6697
543	7971	6681
544	7986	6667
545	8001	6653
546	8017	6639
547	8036	6628
548	8056	6617
549	8073	6605
550	8096	6597
551	8116	6587
552	8137	6577
553	8157	6567
554	8178	6557
555	8198	6546
556	8218	6536
557	8237	6525
558	8256	6513
559	8276	6503
560	8297	6492
561	8315	6481
562	8335	6470
563	8356	6459
564	8377	6449
565	8396	6438
566	8417	6427
567	8436	6416
568	8457	6406
569	8477	6395
570	8497	6384
571	8516	6372
572	8535	6360
573	8558	6351
574	8579	6341
575	8598	6329
576	8618	6318
577	8639	6307
578	8649	6289
579	8659	6270
580	8668	6251
581	8676	6231
582	8685	6212
583	8694	6193
584	8703	6174
585	8712	6155
586	8721	6136
587	8729	6116
588	8739	6098
589	8748	6079
590	8757	6060
591	8766	6041
592	8775	6022
593	8784	6004
594	8794	5986
595	8804	5967
596	8814	5949
597	8823	5931
598	8833	5913
599	8843	5895
600	8855	5879
601	8869	5863
602	8887	5851
603	8914	5844
604	8952	5845
605	8972	5833
606	8991	5821
607	9009	5809
608	9028	5796
609	9048	5785
610	9070	5775
611	9090	5763
612	9109	5751
613	9128	5738
614	9144	5724
615	9162	5711
616	9185	5701
617	9208	5692
618	9228	5680
619	9246	5667
620	9263	5653
621	9280	5640
622	9299	5627
623	9317	5614
624	9338	5603
625	9358	5591
626	9377	5578
627	9399	5567
628	9419	5555
629	9438	5543
630	9459	5532
631	9473	5516
632	9484	5499
633	9495	5481
634	9506	5464
635	9518	5447
636	9533	5432
637	9548	5418
638	9565	5404
639	9584	5391
640	9602	5378
641	9622	5365
642	9640	5352
643	9658	5339
644	9679	5327
645	9699	5314
646	9719	5302
647	9739	5290
648	9758	5277
649	9779	5265
650	9799	5253
651	9810	5236
652	9820	5218
653	9832	5201
654	9842	5184
655	9854	5167
656	9866	5151
657	9880	5135
658	9894	5120
659	9912	5106
660	9930	5092
661	9947	5079
662	9967	5066
663	9986	5053
664	10005	5040
665	10024	5027
666	10043	5014
667	10065	5002
668	10084	4989
669	10104	4976
670	10126	4965
671	10137	4948
672	10149	4931
673	10162	4915
674	10174	4898
675	10186	4882
676	10200	4866
677	10216	4852
678	10234	4838
679	10252	4824
680	10270	4810
681	10288	4797
682	10308	4784
683	10326	4770
684	10346	4757
685	10365	4744
686	10386	4732
687	10407	4719
688	10421	4704
689	10435	4688
690	10449	4672
691	10461	4656
692	10475	4640
693	10490	4625
694	10505	4610
695	10522	4596
696	10540	4582
697	10559	4568
698	10579	4555
699	10598	4542
700	10617	4528
701	10638	4516
702	10660	4503
703	10681	4491
704	10701	4477
705	10722	4465
706	10742	4451
707	10760	4438
708	10779	4424
709	10799	4411
710	10819	4397
711	10830	4381
712	10841	4363
713	10851	4346
714	10860	4329
715	10870	4311
716	10882	4295
717	10893	4278
718	10904	4261
719	10917	4245
720	10934	4231
721	10952	4217
722	10970	4203
723	10989	4189
724	11009	4176
725	11032	4163
726	11054	4151
727	11073	4137
728	11095	4124
729	11113	4110
730	11129	4095
731	11145	4080
732	11161	4065
733	11178	4051
734	11196	4036
735	11213	4022
736	11230	4007
737	11250	3993
738	11268	3979
739	11284	3964
740	11302	3950
741	11319	3935
742	11335	3920
743	11350	3905
744	11369	3891
745	11385	3876
746	11403	3862
747	11420	3847
748	11435	3832
749	11455	3818
750	11471	3803
751	11486	3787
752	11503	3773
753	11520	3758
754	11538	3744
755	11555	3729
756	11572	3714
757	11590	3700
758	11608	3685
759	11628	3672
760	11643	3656
761	11662	3642
762	11678	3627
763	11695	3612
764	11712	3597
765	11731	3583
766	11746	3568
767	11762	3553
768	11778	3538
769	11797	3523
770	11811	3508
771	11826	3492
772	11842	3477
773	11859	3462
774	11875	3447
775	11895	3433
776	11911	3418
777	11928	3403
778	11944	3388
779	11959	3373
780	11977	3358
781	11993	3343
782	12012	3329
783	12028	3313
784	12044	3298
785	12059	3283
786	12074	3268
787	12090	3252
788	12106	3237
789	12124	3222
790	12142	3208
791	12157	3192
792	12174	3178
793	12191	3163
794	12206	3147
795	12222	3132
796	12238	3117
797	12253	3101
798	12269	3086
799	12287	3071
800	12305	3057
801	12320	3041
802	12336	3026
803	12351	3011
804	12369	2996
805	12385	2981
806	12402	2966
807	12418	2950
808	12432	2935
809	12449	2920
810	12465	2905
811	12481	2889
812	12497	2874
813	12516	2860
814	12533	2845
815	12555	2831
816	12572	2816
817	12592	2801
818	12609	2786
819	12627	2771
820	12646	2757
821	12666	2742
822	12685	2728
823	12705	2713
824	12730	2700
825	12748	2685
826	12767	2670
827	12786	2656
828	12808	2642
829	12839	2629
830	12857	2614
831	12872	2599
832	12889	2584
833	12904	2568
834	12920	2553
835	12935	2537
836	12949	2521
837	12967	2506
838	12984	2491
839	13003	2476
840	13021	2461
841	13036	2446
842	13053	2430
843	13072	2416
844	13088	2400
845	13106	2385
846	13122	2370
847	13140	2355
848	13157	2340
849	13173	2324
850	13189	2309
851	13206	2294
852	13222	2278
853	13239	2263
854	13257	2248
855	13277	2233
856	13295	2218
857	13311	2203
858	13327	2187
859	13342	2171
860	13356	2156
861	13372	2140
862	13388	2125
863	13405	2110
864	13421	2094
865	13438	2079
866	13455	2064
867	13474	2049
868	13491	2033
869	13506	2018
870	13520	2002
871	13535	1986
872	13551	1971
873	13570	1956
874	13585	1940
875	13601	1925
876	13617	1909
877	13634	1894
878	13650	1879
879	13666	1863
880	13682	1848
881	13699	1832
882	13716	1817
883	13733	1802
884	13748	1786
885	13764	1771
886	13782	1755
887	13799	1740
888	13815	1725
889	13831	1709
890	13847	1693
891	13863	1678
892	13880	1663
893	13895	1647
894	13909	1631
895	13926	1616
896	13944	1601
897	13961	1585
898	13977	1570
899	13992	1554
900	14008	1539
901	14025	1523
902	14042	1508
903	14061	1493
904	14077	1477
905	14093	1462
906	14108	1446
907	14124	1431
908	14141	1415
909	14159	1400
910	14175	1384
911	14193	1369
912	14209	1354
913	14224	1338
914	14241	1322
915	14257	1307
916	14276	1292
917	14293	1276
918	14309	1261
919	14323	1245
920	14340	1230
921	14355	1214
922	14372	1198
923	14388	1183
924	14406	1168
925	14423	1152
926	14438	1137
927	14455	1121
928	14473	1106
929	14487	1090
930	14502	1074
931	14518	1059
932	14535	1043
933	14553	1028
934	14569	1012
935	14586	997
936	14602	981
937	14619	966
938	14637	950
939	14652	935
940	14667	919
941	14683	904
942	14701	888
943	14718	873
944	14734	857
945	14749	841
946	14766	826
947	14784	810
948	14800	795
949	14815	779
950	14830	764
951	14846	748
952	14864	733
953	14883	717
954	14899	702
955	14914	686
956	14930	670
957	14945	655
958	14961	639
959	14978	624
960	14995	608
961	15010	592
962	15025	577
963	15041	561
964	15058	546
965	15073	530
966	15088	514
967	15106	499
968	15122	483
969	15137	468
970	15153	452
971	15168	436
972	15183	421
973	15200	405
974	15216	390
975	15231	374
976	15245	358
977	15261	343
978	15278	327
979	15296	312
980	15313	296
981	15330	281
982	15347	265
983	15364	249
984	15381	234
985	15398	218
986	15415	203
987	15434	187
988	15450	171
989	15467	156
990	15485	140
991	15500	125
992	15518	109
993	15534	93
994	15551	78
995	15568	62
996	15586	46
997	15602	31
998	15619	15
999	15636	0
